Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,N0ELK,,-,144.51000,,88.5,88.5,023,NN,FM,5,"Liberty",
2,W0CBL,,-,144.53000,,88.5,88.5,023,NN,FM,5,"Kirksville, KTVO Studio Link Tower",
3,K0DCA,,-,144.55000,Tone,162.2,88.5,023,NN,FM,5,"Ongo",
4,WD0SKY,,-,144.55000,Tone,107.2,88.5,023,NN,FM,5,"Osborn",
5,K0CSM,,-,144.55000,,88.5,88.5,023,NN,FM,5,"Sullivan",
6,K0GQ,,-,144.57000,Tone,151.4,88.5,023,NN,FM,5,"Raytown, Water Tower",
7,K0KYZ,,-,144.57000,Tone,151.4,88.5,023,NN,FM,5,"St. Louis, Forest Park",
8,KA0EJQ,,-,144.59000,,88.5,88.5,023,NN,FM,5,"Eolia",
9,KC0SKY,,-,144.59000,Tone,107.2,88.5,023,NN,FM,5,"Excelsior Springs",
10,W0IN,,-,144.59000,Tone,91.5,88.5,023,NN,FM,5,"Joplin, Mercy Hospital",
11,W9IQ,,-,,Tone,123.0,88.5,023,NN,FM,5,"Seymour, Highway 60 and Route A",
12,AC0JK,,-,144.61000,Tone,162.2,88.5,023,NN,FM,5,"Shell Knob, Fire Lookout Tower",
13,WB0QXW,,-,144.61000,Tone,123.0,88.5,023,NN,FM,5,"St. Louis",
14,KD0MRV,,-,144.63000,Tone,123.0,88.5,023,NN,FM,5,"Greenville",
15,WA6JGM,,-,144.63000,Tone,162.2,88.5,023,NN,FM,5,"Highlandville",
16,KD0AIZ,,-,144.65000,Tone,110.9,88.5,023,NN,FM,5,"West Plains",
17,K0NXA,,-,144.67000,Tone,162.2,88.5,023,NN,FM,5,"Nixa, Water Tower",
18,KA9HNT,,-,144.67000,,88.5,88.5,023,NN,FM,5,"St. Louis, Busch Stadium",
19,KM0HP,,-,144.69000,Tone,127.3,88.5,023,NN,FM,5,"Holliday",
20,KN0D,,-,144.71000,Tone,100.0,88.5,023,NN,FM,5,"Eminence",
21,K0EJC,,-,144.71000,,88.5,88.5,023,NN,FM,5,"Independence, IFD Station #1",
22,KC0DBU,,-,144.73000,Tone,156.7,88.5,023,NN,FM,5,"Springfield, Cox South Hospital",
23,KO0A,,-,144.73000,,88.5,88.5,023,NN,FM,5,"St Charles, Water Tower - Lindenwood College",
24,N0NWS,,-,144.75000,Tone,91.5,88.5,023,NN,FM,5,"Joplin",
25,AB0JW,,-,144.75000,Tone,100.0,88.5,023,NN,FM,5,"Poplar Bluff, R-1 School Maintenance Warehouse",
26,N0ARS,,-,144.75000,Tone,123.0,88.5,023,NN,FM,5,"St. Louis, Tilles Park",
27,K0EJC,,-,144.77000,,88.5,88.5,023,NN,FM,5,"Independence, Centerpoint Medical Center",
28,K0DCA,,-,144.77000,Tone,162.2,88.5,023,NN,FM,5,"Seymour",
29,KJ0A,,-,144.77000,,88.5,88.5,023,NN,FM,5,"St Charles",
30,KM0HP,,-,144.79000,Tone,91.5,88.5,023,NN,FM,5,"Granby, MSHP Tower",
31,KM0HP,,-,144.79000,Tone,127.3,88.5,023,NN,FM,5,"Linn, MSHP Tower",
32,K0JPK,,-,144.81000,,88.5,88.5,023,NN,FM,5,"Cape Fair",
33,K0HAM,,-,144.81000,Tone,88.5,88.5,023,NN,FM,5,"Lee's Summit",
34,K0RBR,,-,144.81000,,88.5,88.5,023,NN,FM,5,"O'Fallon, North Main Street - Water Tank",
35,W0MB,,-,144.83000,,88.5,88.5,023,NN,FM,5,"Gladstone, Gladstone Water Tank - 72nd and Antioch",
36,KA0FKF,,-,144.83000,Tone,107.2,88.5,023,NN,FM,5,"Springfield",
37,W0HL,,-,144.85000,Tone,91.5,88.5,023,NN,FM,5,"Nevada",
38,W0EEE,,-,144.85000,Tone,110.9,88.5,023,NN,FM,5,"Rolla, TJ Residence Hall",
39,N0NWS,,-,144.89000,Tone,136.5,88.5,023,NN,FM,5,"Fordland",
40,W0ECA,,-,144.89000,Tone,141.3,88.5,023,NN,FM,5,"Harvester",
41,KM0HP,,-,,Tone,100.0,88.5,023,NN,FM,5,"Poplar Bluff, MSHP Station, North 67",
42,N0ARM,,+,147.05000,,88.5,88.5,23,NN,DV,5,"Joplin",
43,KD0ZEA,,+,147.05000,,88.5,88.5,23,NN,DV,5,"Pacific, Nike Missile Base Control Center on Signal Hill",
44,WX0BC,,-,146.01000,Tone,127.3,88.5,023,NN,FM,5,"Columbia, Near I-70",
45,KC0TPS,,-,146.01000,,88.5,88.5,023,NN,FM,5,"St. Louis, Bates and Virginia",
46,N0RFI,,-,146.02500,Tone,110.9,88.5,023,NN,FM,5,"Ava",
47,AA0NC,,-,146.02500,Tone,131.8,88.5,023,NN,FM,5,"Eldon",
48,W0KEM,,-,146.02500,Tone,103.5,88.5,023,NN,FM,5,"Hannibal",
49,K0QOD,,-,146.02500,Tone,100.0,88.5,023,NN,FM,5,"St Genevieve",
50,W0EBE,,-,146.04000,Tone,162.2,88.5,023,NN,FM,5,"Springfield, Troop D MSHP HQ",
51,K0NXA,,-,146.05500,Tone,91.5,88.5,023,NN,FM,5,"Branson, Water Tower - Near Titanic Museum",
52,N0SAX,,-,146.05500,Tone,94.8,88.5,023,NN,FM,5,"Carrollton, East Water Tower",
53,K0KRB,,-,146.07000,,88.5,88.5,023,NN,FM,5,"El Dorado Springs, Cedar Springs Microwave Tower",
