"Sequence Number","band","Country","State","Region","Location","Output Frequency","Input Frequency","Call Sign","Repeater Notes","CTCSS Tones","Sponsor"
"1","","","","","Puebla","28.675","28.675","XE1SDZ","o","",""
"2","29.5-29.7 MHz (10 m)","","","","Wallace","29.6","-","W4APE","o","136.5",""
"3","29.5-29.7 MHz (10 m)","","","","Aguas Buenas","29.62","-","KP4IA","o","",""
"4","29.5-29.7 MHz (10 m)","","","","Alpine","29.62","-","KQ2H","o","146.2",""
"5","29.5-29.7 MHz (10 m)","","","","Auburn","29.62","-","N6JSL","o","156.7",""
"6","29.5-29.7 MHz (10 m)","","","","Avon","29.62","-","WR2AHL","o","",""
"7","29.5-29.7 MHz (10 m)","","","","Biloxi","29.62","-","W6CSA","o","136.5",""
"8","29.5-29.7 MHz (10 m)","","","","Credit River","29.62","-","N0KP","o","",""
"9","29.5-29.7 MHz (10 m)","","","","Culver City Baldwin Hills","29.62","-","NI8H","o","107.2",""
"10","29.5-29.7 MHz (10 m)","","","","Decatur","29.62","-","K9HGX","o","103.5",""
"11","29.5-29.7 MHz (10 m)","","","","Homestead","29.62","-","WA3PBD","o","118.8",""
"12","29.5-29.7 MHz (10 m)","","","","Kalispell","29.62","-","N7LT","o","",""
"13","29.5-29.7 MHz (10 m)","","","","Mahopac","29.62","-","KQ2H","o","146.2",""
"14","29.5-29.7 MHz (10 m)","","","","Manhattan","29.62","-","KQ2H","o","146.2",""
"15","29.5-29.7 MHz (10 m)","","","","Ottawa","29.62","-","VE3TST","o","136.5",""
"16","29.5-29.7 MHz (10 m)","","","","Rockford","29.62","-","K9AMJ","o","118.8",""
"17","29.5-29.7 MHz (10 m)","","","","San Jose","29.62","-","KD6AOG","o","127.3",""
"18","29.5-29.7 MHz (10 m)","","","","Sioux City","29.62","-","K0TFT","o","179.9",""
"19","29.5-29.7 MHz (10 m)","","","","Uxbridge","29.62","-","VE3TFM","o","103.5",""
"20","29.5-29.7 MHz (10 m)","","","","Wurtsburo Catskill Mountains","29.62","-","KQ2H","o","146.2",""
"21","29.5-29.7 MHz (10 m)","","","","Zebulon","29.62","-","WB4IUY","o","100.0",""
"22","29.5-29.7 MHz (10 m)","","","","Angier","29.64","-","NC4RA","o","82.5",""
"23","29.5-29.7 MHz (10 m)","","","","Bay Saint Louis","29.64","-","KB5MPW","o","136.5",""
"24","29.5-29.7 MHz (10 m)","","","","Bellevue","29.64","-","WB0QQK","o","",""
"25","29.5-29.7 MHz (10 m)","","","","Bristol","29.64","-","KB1CDI","o","88.5",""
"26","29.5-29.7 MHz (10 m)","","","","Carrick","29.64","-","W3PGH","o","131.8",""
"27","29.5-29.7 MHz (10 m)","","","","Charleston","29.64","-","WB8CQV","o","203.5",""
"28","29.5-29.7 MHz (10 m)","","","","Dacula","29.64","-","W4IMD","o","123.0",""
